"","symbol","date","open","high","low","close","volume","adjusted"
"1","GC=F",2020-01-02,1518.099976,1528.699951,1518,1524.5,214,1524.5
"2","GC=F",2020-01-03,1530.099976,1552.699951,1530.099976,1549.199951,107,1549.199951
"3","GC=F",2020-01-06,1580,1580,1560.400024,1566.199951,416,1566.199951
"4","GC=F",2020-01-07,1558.300049,1576.300049,1558.300049,1571.800049,47,1571.800049
"5","GC=F",2020-01-08,1579.699951,1604.199951,1552.300049,1557.400024,236,1557.400024
"6","GC=F",2020-01-09,1555.699951,1555.699951,1543.300049,1551.699951,54,1551.699951
"7","GC=F",2020-01-10,1551.199951,1558.800049,1545.400024,1557.5,16,1557.5
"8","GC=F",2020-01-13,1557.400024,1558,1548.400024,1548.400024,48,1548.400024
"9","GC=F",2020-01-14,1546.699951,1546.699951,1534.900024,1542.400024,32,1542.400024
"10","GC=F",2020-01-15,1548,1553.900024,1545.599976,1552.099976,11,1552.099976
"11","GC=F",2020-01-16,1555.699951,1556.099976,1548.5,1549,98,1549
"12","GC=F",2020-01-17,1554.099976,1558.800049,1553.599976,1558.800049,108,1558.800049
"13","GC=F",2020-01-21,1559.300049,1566.199951,1551,1556.400024,45,1556.400024
"14","GC=F",2020-01-22,1549.800049,1557.099976,1549.800049,1555.300049,42,1555.300049
"15","GC=F",2020-01-23,1553.099976,1564.599976,1552.199951,1564.599976,15,1564.599976
"16","GC=F",2020-01-24,1556.300049,1571.099976,1556.300049,1571.099976,43,1571.099976
"17","GC=F",2020-01-27,1584.300049,1584.5,1576.800049,1576.800049,22,1576.800049
"18","GC=F",2020-01-28,1576.400024,1576.400024,1569.199951,1569.199951,3,1569.199951
"19","GC=F",2020-01-29,1569.800049,1569.800049,1569.800049,1569.800049,251274,1569.800049
"20","GC=F",2020-01-30,1576.800049,1585,1571.400024,1583.5,62336,1583.5
"21","GC=F",2020-01-31,1573.400024,1589,1570,1582.900024,1095,1582.900024
"22","GC=F",2020-02-03,1592.900024,1593.300049,1568.199951,1577.199951,1062,1577.199951
"23","GC=F",2020-02-04,1577.699951,1577.699951,1547.800049,1550.400024,978,1550.400024
"24","GC=F",2020-02-05,1553.199951,1560.699951,1547.699951,1557.800049,1305,1557.800049
"25","GC=F",2020-02-06,1553.599976,1565.599976,1551.599976,1565.099976,110,1565.099976
"26","GC=F",2020-02-07,1564.900024,1571.900024,1560.5,1568.599976,431,1568.599976
"27","GC=F",2020-02-10,1569.300049,1574.699951,1568.599976,1574.699951,128,1574.699951
"28","GC=F",2020-02-11,1570.900024,1571.099976,1561.900024,1565.599976,440,1565.599976
"29","GC=F",2020-02-12,1565.199951,1568.699951,1561,1567.400024,36,1567.400024
"30","GC=F",2020-02-13,1570.199951,1575.099976,1570.199951,1575.099976,74,1575.099976
"31","GC=F",2020-02-14,1575.800049,1582.699951,1574.800049,1582.699951,68,1582.699951
"32","GC=F",2020-02-18,1579.800049,1604.300049,1579.800049,1600,310,1600
"33","GC=F",2020-02-19,1600.599976,1610.5,1599.699951,1607.5,542,1607.5
"34","GC=F",2020-02-20,1606.5,1621,1603,1616.599976,117,1616.599976
"35","GC=F",2020-02-21,1619.300049,1645,1619.300049,1644.599976,186,1644.599976
"36","GC=F",2020-02-24,1657,1686.599976,1650,1672.400024,435,1672.400024
"37","GC=F",2020-02-25,1645.099976,1653.699951,1632.300049,1646.900024,409,1646.900024
"38","GC=F",2020-02-26,1644,1648.099976,1636.400024,1640,1990,1640
"39","GC=F",2020-02-27,1641.099976,1658,1638.5,1640,707,1640
"40","GC=F",2020-02-28,1640.300049,1642.5,1564.099976,1564.099976,289,1564.099976
"41","GC=F",2020-03-02,1583.900024,1608.300049,1574.300049,1592.300049,537,1592.300049
"42","GC=F",2020-03-03,1594.5,1645.300049,1594,1642.099976,610,1642.099976
"43","GC=F",2020-03-04,1645.400024,1645.900024,1631.300049,1641.099976,83,1641.099976
"44","GC=F",2020-03-05,1637.300049,1672.900024,1637.199951,1666.400024,154,1666.400024
"45","GC=F",2020-03-06,1670.800049,1686.199951,1647.199951,1670.800049,175,1670.800049
"46","GC=F",2020-03-09,1696.099976,1701.599976,1657.699951,1674.5,161,1674.5
"47","GC=F",2020-03-10,1671.599976,1674.599976,1643,1659.099976,48,1659.099976
"48","GC=F",2020-03-11,1656.599976,1666.5,1635,1641.400024,47,1641.400024
"49","GC=F",2020-03-12,1637,1647.5,1566.400024,1589.300049,256,1589.300049
"50","GC=F",2020-03-13,1574.900024,1589.800049,1513.800049,1515.699951,89,1515.699951
"51","GC=F",2020-03-16,1569.099976,1569.099976,1452.099976,1485.900024,193,1485.900024
"52","GC=F",2020-03-17,1469.300049,1537.699951,1469.300049,1524.900024,122,1524.900024
"53","GC=F",2020-03-18,1537.5,1542,1477.300049,1477.300049,333,1477.300049
"54","GC=F",2020-03-19,1481.5,1491.599976,1471,1478.599976,262,1478.599976
"55","GC=F",2020-03-20,1483.5,1484,1483.5,1484,14,1484
"56","GC=F",2020-03-23,1505.300049,1567,1490.199951,1567,51,1567
"57","GC=F",2020-03-24,1592.699951,1685.5,1592.699951,1660.199951,442,1660.199951
"58","GC=F",2020-03-25,1676.5,1676.5,1631.099976,1632.300049,476,1632.300049
"59","GC=F",2020-03-26,1660.5,1660.5,1650.099976,1650.099976,3,1650.099976
"60","GC=F",2020-03-27,1623.900024,1623.900024,1623.900024,1623.900024,100638,1623.900024
"61","GC=F",2020-03-30,1641.199951,1652.800049,1607.199951,1622,16389,1622
"62","GC=F",2020-03-31,1618.699951,1621,1576,1583.400024,2874,1583.400024
"63","GC=F",2020-04-01,1570,1600,1570,1578.199951,2158,1578.199951
"64","GC=F",2020-04-02,1590.900024,1631.199951,1586,1625.699951,1294,1625.699951
"65","GC=F",2020-04-03,1624.5,1636,1619.800049,1633.699951,643,1633.699951
"66","GC=F",2020-04-06,1629.099976,1696.699951,1625.900024,1677,1063,1677
"67","GC=F",2020-04-07,1695.699951,1724.400024,1658,1664.800049,1144,1664.800049
"68","GC=F",2020-04-08,1669.699951,1677,1662.5,1665.400024,747,1665.400024
"69","GC=F",2020-04-09,1662.699951,1736.199951,1662.699951,1736.199951,825,1736.199951
"70","GC=F",2020-04-13,1722,1756.800049,1710.699951,1744.800049,696,1744.800049
"71","GC=F",2020-04-14,1756.800049,1775,1739.5,1756.699951,675,1756.699951
"72","GC=F",2020-04-15,1739.400024,1744.900024,1722.699951,1727.199951,642,1727.199951
"73","GC=F",2020-04-16,1731,1750.599976,1715,1720.400024,162,1720.400024
"74","GC=F",2020-04-17,1715.699951,1725,1684.900024,1689.199951,223,1689.199951
"75","GC=F",2020-04-20,1686,1701.599976,1680,1701.599976,106,1701.599976
"76","GC=F",2020-04-21,1697,1707.099976,1659.900024,1678.199951,666,1678.199951
"77","GC=F",2020-04-22,1696,1728.699951,1684.800049,1728.699951,453,1728.699951
"78","GC=F",2020-04-23,1734,1745.099976,1733.300049,1733.300049,482,1733.300049
"79","GC=F",2020-04-24,1744,1744,1714.5,1723.5,221,1723.5
"80","GC=F",2020-04-27,1731.900024,1731.900024,1711.900024,1711.900024,169,1711.900024
"81","GC=F",2020-04-28,1716.599976,1716.599976,1707.099976,1710.5,1255,1710.5
"82","GC=F",2020-04-29,1710,1713.5,1702,1703.400024,373,1703.400024
"83","GC=F",2020-04-30,1719.300049,1719.300049,1680.800049,1684.199951,327,1684.199951
"84","GC=F",2020-05-01,1686.599976,1701.5,1670.5,1694.5,337,1694.5
"85","GC=F",2020-05-04,1702.599976,1709,1699.599976,1706.900024,320,1706.900024
"86","GC=F",2020-05-05,1701.5,1704.400024,1697.199951,1704.400024,82,1704.400024
"87","GC=F",2020-05-06,1704,1704,1684.199951,1684.199951,469,1684.199951
"88","GC=F",2020-05-07,1686.199951,1721.800049,1685.599976,1721.800049,853,1721.800049
"89","GC=F",2020-05-08,1726.199951,1728.900024,1703.800049,1709.900024,330,1709.900024
"90","GC=F",2020-05-11,1702.300049,1704.5,1690.199951,1695.300049,749,1695.300049
"91","GC=F",2020-05-12,1699.300049,1713.099976,1699.300049,1704.400024,324,1704.400024
"92","GC=F",2020-05-13,1702,1721.300049,1701.900024,1713.900024,431,1713.900024
"93","GC=F",2020-05-14,1724.300049,1743.099976,1720.5,1738.099976,672,1738.099976
"94","GC=F",2020-05-15,1739.699951,1753.400024,1739.699951,1753.400024,719,1753.400024
"95","GC=F",2020-05-18,1755.699951,1770.5,1731.800049,1731.800049,229,1731.800049
"96","GC=F",2020-05-19,1744.199951,1749.5,1744.199951,1744.199951,167,1744.199951
"97","GC=F",2020-05-20,1751.599976,1752.099976,1745.599976,1750.599976,16,1750.599976
"98","GC=F",2020-05-21,1746.800049,1746.800049,1720.5,1720.5,528,1720.5
"99","GC=F",2020-05-22,1726.599976,1734.599976,1726.599976,1734.599976,6,1734.599976
"100","GC=F",2020-05-26,1726.400024,1726.400024,1704.800049,1704.800049,39,1704.800049
"101","GC=F",2020-05-27,1685.599976,1710.300049,1685.599976,1710.300049,137416,1710.300049
"102","GC=F",2020-05-28,1709.300049,1727.800049,1705,1713.300049,23355,1713.300049
